id,ementas
36521,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110233&cdForo=0
36522,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110157&cdForo=0
36523,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110177&cdForo=0
36524,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110168&cdForo=0
36525,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110169&cdForo=0
36526,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110174&cdForo=0
36527,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110155&cdForo=0
36528,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110173&cdForo=0
36529,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110160&cdForo=0
36530,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110184&cdForo=0
36531,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11110161&cdForo=0
36532,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11108900&cdForo=0
36533,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11108688&cdForo=0
36534,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11108569&cdForo=0
36535,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11108442&cdForo=0
36536,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11108437&cdForo=0
36537,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11108403&cdForo=0
36538,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11108413&cdForo=0
36539,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11108445&cdForo=0
36540,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11108891&cdForo=0
36541,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11106985&cdForo=0
36542,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11106232&cdForo=0
36543,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11104358&cdForo=0
36544,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11104328&cdForo=0
36545,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11104326&cdForo=0
36546,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11104133&cdForo=0
36547,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11104130&cdForo=0
36548,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11104013&cdForo=0
36549,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11104439&cdForo=0
36550,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11104419&cdForo=0
36551,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11104795&cdForo=0
36552,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11104791&cdForo=0
36553,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11104796&cdForo=0
36554,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11104823&cdForo=0
36555,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11104810&cdForo=0
36556,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11104809&cdForo=0
36557,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11104701&cdForo=0
36558,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11104635&cdForo=0
36559,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11102707&cdForo=0
36560,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11102705&cdForo=0
36561,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11100205&cdForo=0
36562,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11099388&cdForo=0
36563,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11098354&cdForo=0
36564,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11098363&cdForo=0
36565,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11098353&cdForo=0
36566,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11098364&cdForo=0
36567,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11098048&cdForo=0
36568,https://esaj.tjsp.jus.br/cjsg/getArquivo.do?cdAcordao=11098045&cdForo=0
